nama_usaha,jenis,golongan,jumlah_kamar,alamat,wilayah
CIPUTRA,Hotel Bintang,Bintang 4,333,Jl. Letjend S. Parman,Jakarta Barat
GRAND TROPIC SUITES HOTEL,Hotel Bintang,Bintang 4,195,Jl. Letjen S. Parman Kav. 3 RT. 007/02,Jakarta Barat
MENARA PENINSULA,Hotel Bintang,Bintang 4,400,Jl. Letjen S. Parman  78,Jakarta Barat
HOTEL SANTIKA PREMIERE JAKARTA,Hotel Bintang,Bintang 4,275,Jl. Aipda KS. Tubun No. 7,Jakarta Barat
TWIN PLAZA,Hotel Bintang,Bintang 4,211,Jl. Letjen S. Parman Kav. 93-94,Jakarta Barat
FM.1 BOUTIQUE,Hotel Bintang,Bintang 3,64,Jl. Let. Jend S. Parman Raya Kav. 8,Jakarta Barat
COMFORT,Hotel Bintang,Bintang,40,Jl. Latumenten No. 50,Jakarta Barat
HOTEL GRAND TJOKRO,Hotel Melati,Melati 3,100,Jl. Daan Mogot No. 63,Jakarta Barat
GROGOL  2,Motel,Motel,24,Jl. Daan Mogot No. 79,Jakarta Barat
PONDOK CITRA GROGOL,Motel,Motel,53,Jl. Daan Mogot No. 111,Jakarta Barat
PONDOK MITRA KENCANA LESTARI,Motel,Motel,86,Jl. Latumenten No. 50,Jakarta Barat
IBIS SLIPI,Hotel Bintang,Bintang 3,338,Jl. Letjen S. Parman Kav. 58-59,Jakarta Barat
PITAGIRI,Hotel Bintang,Bintang,127,Jl. Palmerah Barat No. 110,Jakarta Barat
MEGA ANGGREK,Hotel Bintang,Bintang 3,200,Jl. Arjuna Selatan No. 4A,Jakarta Barat
GERBANG PURNAMA,Motel,Motel,49,Jl. Terusan Arjuna No. 7,Jakarta Barat
HOTEL TRANSIT TOMANG,Motel,Motel,37,Jl. Kedoya Raya RT. 007/03,Jakarta Barat
GOLDEN CROWN,Hotel Bintang,Bintang,40,Jl. Pinangsia Raya No. 1,Jakarta Barat
HOTEL ASTON,Hotel Bintang,Bintang,156,Jl. Raya Kamal Outering Road Blok C-01 No. 18,Jakarta Barat
AGUSTA  CENGKARENG,Hotel Melati,Melati 3,46,Jl. Kamal Raya Ling.Luar Barat No. 1,Jakarta Barat
MERCURE JAKARTA KOTA,Hotel Bintang,Bintang 4,243,Jl. Hayam Wuruk No. 123,Jakarta Barat
JAYAKARTA HOTEL,Hotel Bintang,Bintang 4,335,Jl. Hayam Wuruk No. 126,Jakarta Barat
OLYMPIC,Hotel Bintang,Bintang 2,103,Jl. Mangga Besar VII BLOK A.63,Jakarta Barat
ROYAL REGAL,Hotel Bintang,Bintang 3,180,Jl. Mangga Besar Raya VIII No. 27,Jakarta Barat
1001 ENTERTAINMENT CLUB,Hotel Bintang,Bintang 3,50,Jl. Kunir No. 7,Jakarta Barat
ARWANA,Hotel Bintang,Bintang 2,107,Jl. Mangga Besar VIII No. 7,Jakarta Barat
SPARKS HOTEL JAKARTA,Hotel Bintang,Bintang 3,113,Jl. Mangga Besar Raya No. 44,Jakarta Barat
HOTEL ASTIKA,Hotel Bintang,Bintang 2,153,Jl. Mangga Besar Raya No. 76,Jakarta Barat
PRINSEN PARK,Hotel Bintang,Bintang 2,89,Jl. Mangga Besar IX/83-85,Jakarta Barat
TRAVEL,Hotel Bintang,Bintang 2,59,Jl. Mangga Besar VIII No. 21,Jakarta Barat
PENINSULA HOTEL,Hotel Bintang,Bintang 1,90,Jl. Mangga Besar Raya No. 60,Jakarta Barat
SYDNEY 2000,Hotel Bintang,Bintang,36,Jl. Hayam Wuruk Komp Glodok Jaya Lt. 8,Jakarta Barat
MILLE'S,Hotel Bintang,Bintang,40,Lokasari Plaza Lt. 4 Jl. Mangga Besar Raya No. 81,Jakarta Barat
CHITRA,Hotel Melati,Melati 3,93,Jl. Toko Tiga Seberang 23,Jakarta Barat
FORTUNA,Hotel Melati,Melati 2,38,Jl. Pancoran No. 42,Jakarta Barat
KAFILA,Hotel Melati,Melati 2,80,Jl. Sukarjo Wiryopranoto 45 A-B,Jakarta Barat
CAPITOL,Hotel Melati,Melati 3,43,Jl. Toko Tiga Seberang 27,Jakarta Barat
LABU INDAH,Hotel Melati,Melati 3,40,Jl. Labu No. 49-51  Mabes Barat,Jakarta Barat
NEW MANGGA BESAR,Hotel Melati,Melati 2,33,Jl. Mangga Besar Raya No. 68 B-C,Jakarta Barat
