tahun,bulan,destinasi_wisata,jumlah
2020,08,Taman Impian Jaya Ancol,0
2020,08,Taman Mini Indonesia Indah,0
2020,08,Taman Margasatwa Ragunan,0
2020,08,Monumen Nasional,0
2020,08,Museum Nasional,1
2020,08,Museum Satria Mandala,0
2020,08,Museum Sejarah Jakarta,0
2020,08,Museum Tekstil,0
2020,08,Museum Bahari,5
2020,08,Museum Seni Rupa dan Keramik,10
2020,08,Museum Wayang,28
2020,08,Museum Joang,0
2020,08,Taman Arkeologi Onrust,0
2020,08,Pelabuhan Sunda Kelapa,0
2020,08,Kepulauan Seribu,209
2020,08,PBB Setu babakan,0
2020,08,Museum Prasasti,0
2020,08,Planetarium,0
2020,08,Rumah si Pitung,0
2020,08,Kawasan Kota Tua,125
