tahun,bulan,destinasi_wisata,jumlah
2020,04,Taman Impian Jaya Ancol,0
2020,04,Taman Mini Indonesia Indah,0
2020,04,Taman Margasatwa Ragunan,0
2020,04,Monumen Nasional,0
2020,04,Museum Nasional,0
2020,04,Museum Satria Mandala,0
2020,04,Museum Sejarah Jakarta,0
2020,04,Museum Tekstil,0
2020,04,Museum Bahari,0
2020,04,Museum Seni Rupa dan Keramik,0
2020,04,Museum Wayang,0
2020,04,Museum Joang,0
2020,04,Taman Arkeologi Onrust,0
2020,04,Pelabuhan Sunda Kelapa,0
2020,04,Kepulauan Seribu,0
2020,04,PBB Setu babakan,0
2020,04,Museum Prasasti,0
2020,04,Planetarium,0
2020,04,Rumah si Pitung,0
2020,04,Kawasan Kota Tua,0
