tahun,bulan,destinasi_wisata,jumlah
2020,12,Taman Impian Jaya Ancol,0
2020,12,Taman Mini Indonesia Indah,0
2020,12,Taman Margasatwa Ragunan,31
2020,12,Monumen Nasional,0
2020,12,Museum Nasional,25
2020,12,Museum Satria Mandala,0
2020,12,Museum Sejarah Jakarta,0
2020,12,Museum Tekstil,0
2020,12,Museum Bahari,30
2020,12,Museum Seni Rupa dan Keramik,0
2020,12,Museum Wayang,0
2020,12,Museum Joang,0
2020,12,Taman Arkeologi Onrust,0
2020,12,Pelabuhan Sunda Kelapa,0
2020,12,Kepulauan Seribu,214
2020,12,PBB Setu babakan,0
2020,12,Museum Prasasti,0
2020,12,Planetarium,0
2020,12,Rumah si Pitung,0
2020,12,Kawasan Kota Tua,0
