tahun,bulan,destinasi_wisata,jumlah
2020,2,Taman Impian Jaya Ancol,395
2020,2,Taman Mini Indonesia Indah,0
2020,2,Taman Margasatwa Ragunan,372
2020,2,Monumen Nasional,1689
2020,2,Museum Nasional,1877
2020,2,Museum Satria Mandala,0
2020,2,Museum Sejarah Jakarta,1755
2020,2,Museum Tekstil,121
2020,2,Museum Bahari,149
2020,2,Museum Seni Rupa dan Keramik,234
2020,2,Museum Wayang,1006
2020,2,Museum Joang,15
2020,2,Taman Arkeologi Onrust,4
2020,2,Pelabuhan Sunda Kelapa,61
2020,2,Kepulauan Seribu,800
2020,2,PBB Setu babakan,10
2020,2,Museum Prasasti,12
2020,2,Planetarium,0
2020,2,Rumah si Pitung,0
2020,2,Kawasan Kota Tua,7123
