tahun,bulan,destinasi_wisata,jumlah
2020,01,Taman Impian Jaya Ancol,516
2020,01,Taman Mini Indonesia Indah,0
2020,01,Taman Margasatwa Ragunan,449
2020,01,Monumen Nasional,2070
2020,01,Museum Nasional,2877
2020,01,Museum Satria Mandala,0
2020,01,Museum Sejarah Jakarta,1831
2020,01,Museum Tekstil,312
2020,01,Museum Bahari,274
2020,01,Museum Seni Rupa dan Keramik,300
2020,01,Museum Wayang,865
2020,01,Museum Joang,0
2020,01,Taman Arkeologi Onrust,1
2020,01,Pelabuhan Sunda Kelapa,115
2020,01,Kepulauan Seribu,1352
2020,01,PBB Setu babakan,2
2020,01,Museum Prasasti,50
2020,01,Planetarium,0
2020,01,Rumah si Pitung,0
2020,01,Kawasan Kota Tua,6009
