tahun,bulan,destinasi_wisata,jumlah
2020,07,Taman Impian Jaya Ancol,0
2020,07,Taman Mini Indonesia Indah,0
2020,07,Taman Margasatwa Ragunan,7
2020,07,Monumen Nasional,0
2020,07,Museum Nasional,13
2020,07,Museum Satria Mandala,0
2020,07,Museum Sejarah Jakarta,0
2020,07,Museum Tekstil,0
2020,07,Museum Bahari,13
2020,07,Museum Seni Rupa dan Keramik,2
2020,07,Museum Wayang,11
2020,07,Museum Joang,0
2020,07,Taman Arkeologi Onrust,0
2020,07,Pelabuhan Sunda Kelapa,0
2020,07,Kepulauan Seribu,221
2020,07,PBB Setu babakan,0
2020,07,Museum Prasasti,0
2020,07,Planetarium,0
2020,07,Rumah si Pitung,1
2020,07,Kawasan Kota Tua,88
