tahun,bulan,destinasi_wisata,jumlah
2020,06,Taman Impian Jaya Ancol,0
2020,06,Taman Mini Indonesia Indah,0
2020,06,Taman Margasatwa Ragunan,3
2020,06,Monumen Nasional,0
2020,06,Museum Nasional,7
2020,06,Museum Satria Mandala,0
2020,06,Museum Sejarah Jakarta,3
2020,06,Museum Tekstil,5
2020,06,Museum Bahari,1
2020,06,Museum Seni Rupa dan Keramik,5
2020,06,Museum Wayang,18
2020,06,Museum Joang,0
2020,06,Taman Arkeologi Onrust,0
2020,06,Pelabuhan Sunda Kelapa,0
2020,06,Kepulauan Seribu,48
2020,06,PBB Setu babakan,0
2020,06,Museum Prasasti,0
2020,06,Planetarium,0
2020,06,Rumah si Pitung,0
2020,06,Kawasan Kota Tua,73
