tahun,bulan,destinasi_wisata,jumlah
2020,3,Taman Impian Jaya Ancol,165
2020,3,Taman Mini Indonesia Indah,0
2020,3,Taman Margasatwa Ragunan,82
2020,3,Monumen Nasional,580
2020,3,Museum Nasional,546
2020,3,Museum Satria Mandala,0
2020,3,Museum Sejarah Jakarta,389
2020,3,Museum Tekstil,73
2020,3,Museum Bahari,55
2020,3,Museum Seni Rupa dan Keramik,142
2020,3,Museum Wayang,648
2020,3,Museum Joang,18
2020,3,Taman Arkeologi Onrust,0
2020,3,Pelabuhan Sunda Kelapa,0
2020,3,Kepulauan Seribu,419
2020,3,PBB Setu babakan,0
2020,3,Museum Prasasti,18
2020,3,Planetarium,0
2020,3,Rumah si Pitung,0
2020,3,Kawasan Kota Tua,2144
