tahun,bulan,destinasi_wisata,jumlah
2020,11,Taman Impian Jaya Ancol,0
2020,11,Taman Mini Indonesia Indah,0
2020,11,Taman Margasatwa Ragunan,40
2020,11,Monumen Nasional,0
2020,11,Museum Nasional,39
2020,11,Museum Satria Mandala,0
2020,11,Museum Sejarah Jakarta,0
2020,11,Museum Tekstil,2
2020,11,Museum Bahari,17
2020,11,Museum Seni Rupa dan Keramik,6
2020,11,Museum Wayang,47
2020,11,Museum Joang,0
2020,11,Taman Arkeologi Onrust,4
2020,11,Pelabuhan Sunda Kelapa,4
2020,11,Kepulauan Seribu,138
2020,11,PBB Setu babakan,0
2020,11,Museum Prasasti,0
2020,11,Planetarium,0
2020,11,Rumah si Pitung,0
2020,11,Kawasan Kota Tua,45
