tahun,bulan,destinasi_wisata,jumlah
2020,10,Taman Impian Jaya Ancol,0
2020,10,Taman Mini Indonesia Indah,0
2020,10,Taman Margasatwa Ragunan,27
2020,10,Monumen Nasional,0
2020,10,Museum Nasional,12
2020,10,Museum Satria Mandala,0
2020,10,Museum Sejarah Jakarta,2
2020,10,Museum Tekstil,0
2020,10,Museum Bahari,3
2020,10,Museum Seni Rupa dan Keramik,1
2020,10,Museum Wayang,11
2020,10,Museum Joang,0
2020,10,Taman Arkeologi Onrust,0
2020,10,Pelabuhan Sunda Kelapa,0
2020,10,Kepulauan Seribu,126
2020,10,PBB Setu babakan,0
2020,10,Museum Prasasti,0
2020,10,Planetarium,0
2020,10,Rumah si Pitung,0
2020,10,Kawasan Kota Tua,139
