tahun,bulan,destinasi_wisata,jumlah
2020,09,Taman Impian Jaya Ancol,0
2020,09,Taman Mini Indonesia Indah,0
2020,09,Taman Margasatwa Ragunan,43
2020,09,Monumen Nasional,0
2020,09,Museum Nasional,0
2020,09,Museum Satria Mandala,0
2020,09,Museum Sejarah Jakarta,2
2020,09,Museum Tekstil,0
2020,09,Museum Bahari,2
2020,09,Museum Seni Rupa dan Keramik,2
2020,09,Museum Wayang,4
2020,09,Museum Joang,0
2020,09,Taman Arkeologi Onrust,0
2020,09,Pelabuhan Sunda Kelapa,0
2020,09,Kepulauan Seribu,87
2020,09,PBB Setu babakan,0
2020,09,Museum Prasasti,0
2020,09,Planetarium,0
2020,09,Rumah si Pitung,0
2020,09,Kawasan Kota Tua,41
