tahun,bulan,destinasi_wisata,jumlah
2020,08,Taman Impian Jaya Ancol,174988
2020,08,Taman Mini Indonesia Indah,134546
2020,08,Taman Margasatwa Ragunan,16570
2020,08,Monumen Nasional,0
2020,08,Museum Nasional,233
2020,08,Museum Satria Mandala,0
2020,08,Museum Sejarah Jakarta,1857
2020,08,Museum Tekstil,162
2020,08,Museum Bahari,887
2020,08,Museum Seni Rupa dan Keramik,321
2020,08,Museum Wayang,506
2020,08,Museum Joang 45,359
2020,08,Taman Arkeologi Onrust,4257
2020,08,Pelabuhan Sunda Kelapa,2535
2020,08,Kepulauan Seribu,37986
2020,08,PBB Setu babakan,21997
2020,08,Museum Prasasti,280
2020,08,Planetarium,0
2020,08,Rumah si Pitung,2597
2020,08,Kawasan Kota Tua,3386
