tahun,bulan,destinasi_wisata,jumlah
2020,12,Taman Impian Jaya Ancol,479272
2020,12,Taman Mini Indonesia Indah,105008
2020,12,Taman Margasatwa Ragunan,19012
2020,12,Monumen Nasional,0
2020,12,Museum Nasional,1418
2020,12,Museum Satria Mandala,0
2020,12,Museum Sejarah Jakarta,4083
2020,12,Museum Tekstil,203
2020,12,Museum Bahari,654
2020,12,Museum Seni Rupa dan Keramik,627
2020,12,Museum Wayang,1788
2020,12,Museum Joang 45,228
2020,12,Taman Arkeologi Onrust,1621
2020,12,Pelabuhan Sunda Kelapa,2296
2020,12,Kepulauan Seribu,22289
2020,12,PBB Setu babakan,9883
2020,12,Museum Prasasti,364
2020,12,Planetarium,0
2020,12,Rumah si Pitung,1238
2020,12,Kawasan Kota Tua,0
