tahun,bulan,destinasi_wisata,jumlah
2020,02,Taman Impian Jaya Ancol,638729
2020,02,Taman Mini Indonesia Indah,317391
2020,02,Taman Margasatwa Ragunan,191179
2020,02,Monumen Nasional,146042
2020,02,Museum Nasional,27928
2020,02,Museum Satria Mandala,518
2020,02,Museum Sejarah Jakarta,59895
2020,02,Museum Tekstil,3049
2020,02,Museum Bahari,2102
2020,02,Museum Seni Rupa dan Keramik,11800
2020,02,Museum Wayang,14728
2020,02,Museum Joang 45,1284
2020,02,Taman Arkeologi Onrust,3236
2020,02,Pelabuhan Sunda Kelapa,1895
2020,02,Kepulauan Seribu,63568
2020,02,PBB Setu babakan,28848
2020,02,Museum Prasasti,973
2020,02,Planetarium,10931
2020,02,Rumah si Pitung,1811
2020,02,Kawasan Kota Tua,587641
