tahun,bulan,destinasi_wisata,jumlah
2020,01,Taman Impian Jaya Ancol,620327
2020,01,Taman Mini Indonesia Indah,272960
2020,01,Taman Margasatwa Ragunan,289748
2020,01,Monumen Nasional,24.325
2020,01,Museum Nasional,18145
2020,01,Museum Satria Mandala,2046
2020,01,Museum Sejarah Jakarta,66251
2020,01,Museum Tekstil,2658
2020,01,Museum Bahari,2087
2020,01,Museum Seni Rupa dan Keramik,12190
2020,01,Museum Wayang,21231
2020,01,Museum Joang 45,581
2020,01,Taman Arkeologi Onrust,2200
2020,01,Pelabuhan Sunda Kelapa,931
2020,01,Kepulauan Seribu,31041
2020,01,PBB Setu babakan,35369
2020,01,Museum Prasasti,1030
2020,01,Planetarium,9654
2020,01,Rumah si Pitung,2048
2020,01,Kawasan Kota Tua,456902
