tahun,bulan,destinasi_wisata,jumlah
2020,07,Taman Impian Jaya Ancol,85142
2020,07,Taman Mini Indonesia Indah,82696
2020,07,Taman Margasatwa Ragunan,9365
2020,07,Monumen Nasional,0
2020,07,Museum Nasional,583
2020,07,Museum Satria Mandala,0
2020,07,Museum Sejarah Jakarta,2066
2020,07,Museum Tekstil,132
2020,07,Museum Bahari,632
2020,07,Museum Seni Rupa dan Keramik,327
2020,07,Museum Wayang,819
2020,07,Museum Joang 45,115
2020,07,Taman Arkeologi Onrust,3711
2020,07,Pelabuhan Sunda Kelapa,927
2020,07,Kepulauan Seribu,20360
2020,07,PBB Setu babakan,1548
2020,07,Museum Prasasti,194
2020,07,Planetarium,0
2020,07,Rumah si Pitung,1722
2020,07,Kawasan Kota Tua,3925
