tahun,bulan,destinasi_wisata,jumlah
2020,06,Taman Impian Jaya Ancol,28175
2020,06,Taman Mini Indonesia Indah,28090
2020,06,Taman Margasatwa Ragunan,3837
2020,06,Monumen Nasional,0
2020,06,Museum Nasional,173
2020,06,Museum Satria Mandala,0
2020,06,Museum Sejarah Jakarta,982
2020,06,Museum Tekstil,190
2020,06,Museum Bahari,173
2020,06,Museum Seni Rupa dan Keramik,233
2020,06,Museum Wayang,432
2020,06,Museum Joang 45,94
2020,06,Taman Arkeologi Onrust,948
2020,06,Pelabuhan Sunda Kelapa,753
2020,06,Kepulauan Seribu,8859
2020,06,PBB Setu babakan,6057
2020,06,Museum Prasasti,104
2020,06,Planetarium,0
2020,06,Rumah si Pitung,788
2020,06,Kawasan Kota Tua,2619
