tahun,bulan,destinasi_wisata,jumlah
2020,03,Taman Impian Jaya Ancol,358871
2020,03,Taman Mini Indonesia Indah,89617
2020,03,Taman Margasatwa Ragunan,82706
2020,03,Monumen Nasional,50328
2020,03,Museum Nasional,12820
2020,03,Museum Satria Mandala,619
2020,03,Museum Sejarah Jakarta,8947
2020,03,Museum Tekstil,1206
2020,03,Museum Bahari,1209
2020,03,Museum Seni Rupa dan Keramik,2666
2020,03,Museum Wayang,2564
2020,03,Museum Joang 45,306
2020,03,Taman Arkeologi Onrust,951
2020,03,Pelabuhan Sunda Kelapa,1304
2020,03,Kepulauan Seribu,17948
2020,03,PBB Setu babakan,11850
2020,03,Museum Prasasti,268
2020,03,Planetarium,1693
2020,03,Rumah si Pitung,672
2020,03,Kawasan Kota Tua,121516
