tahun,bulan,destinasi_wisata,jumlah
2020,05,Taman Impian Jaya Ancol,0
2020,05,Taman Mini Indonesia Indah,0
2020,05,Taman Margasatwa Ragunan,0
2020,05,Monumen Nasional,0
2020,05,Museum Nasional,0
2020,05,Museum Satria Mandala,0
2020,05,Museum Sejarah Jakarta,0
2020,05,Museum Tekstil,0
2020,05,Museum Bahari,0
2020,05,Museum Seni Rupa dan Keramik,0
2020,05,Museum Wayang,0
2020,05,Museum Joang 45,0
2020,05,Taman Arkeologi Onrust,0
2020,05,Pelabuhan Sunda Kelapa,0
2020,05,Kepulauan Seribu,0
2020,05,PBB Setu babakan,0
2020,05,Museum Prasasti,0
2020,05,Planetarium,0
2020,05,Rumah si Pitung,0
2020,05,Kawasan Kota Tua,0
