tahun,bulan,destinasi_wisata,jumlah
2020,11,Taman Impian Jaya Ancol,126744
2020,11,Taman Mini Indonesia Indah,107810
2020,11,Taman Margasatwa Ragunan,21741
2020,11,Monumen Nasional,0
2020,11,Museum Nasional,1451
2020,11,Museum Satria Mandala,0
2020,11,Museum Sejarah Jakarta,5610
2020,11,Museum Tekstil,161
2020,11,Museum Bahari,729
2020,11,Museum Seni Rupa dan Keramik,1003
2020,11,Museum Wayang,2728
2020,11,Museum Joang, 267
2020,11,Taman Arkeologi Onrust,4186 
2020,11,Pelabuhan Sunda Kelapa,2752
2020,11,Kepulauan Seribu,18301
2020,11,PBB Setu babakan,17181
2020,11,Museum Prasasti,417
2020,11,Planetarium,0
2020,11,Rumah si Pitung,2316
2020,11,Kawasan Kota Tua,3354
