tahun,bulan,destinasi_wisata,jumlah
2020,10,Taman Impian Jaya Ancol,1978996
2020,10,Taman Mini Indonesia Indah,962277
2020,10,Taman Margasatwa Ragunan,600470
2020,10,Monumen Nasional,443034
2020,10,Museum Nasional,65308
2020,10,Museum Satria Mandala,0
2020,10,Museum Sejarah Jakarta,2864
2020,10,Museum Tekstil,96
2020,10,Museum Bahari,383
2020,10,Museum Seni Rupa dan Keramik,422
2020,10,Museum Wayang,1390
2020,10,Museum Joang 45,249
2020,10,Taman Arkeologi Onrust,2783
2020,10,Pelabuhan Sunda Kelapa,2232
2020,10,Kepulauan Seribu,14944
2020,10,PBB Setu babakan,10372
2020,10,Museum Prasasti,203
2020,10,Planetarium,0
2020,10,Rumah si Pitung,1342
2020,10,Kawasan Kota Tua,8618
