tahun,bulan,destinasi_wisata,jumlah
2020,09,Taman Impian Jaya Ancol,71688
2020,09,Taman Mini Indonesia Indah,36977
2020,09,Taman Margasatwa Ragunan,6109
2020,09,Monumen Nasional,0
2020,09,Museum Nasional,105
2020,09,Museum Satria Mandala,0
2020,09,Museum Sejarah Jakarta,769
2020,09,Museum Tekstil,80
2020,09,Museum Bahari,269
2020,09,Museum Seni Rupa dan Keramik,237
2020,09,Museum Wayang,422
2020,09,Museum Joang 45,113
2020,09,Taman Arkeologi Onrust,2969
2020,09,Pelabuhan Sunda Kelapa,2155
2020,09,Kepulauan Seribu,15270
2020,09,PBB Setu babakan,4704
2020,09,Museum Prasasti,125
2020,09,Planetarium,0
2020,09,Rumah si Pitung,1018
2020,09,Kawasan Kota Tua,1837
