jenis_usaha,kecamatan,wilayah
Bola Sodok,Kebon Jeruk,Jakarta Barat
Bola Sodok,Tambora,Jakarta Barat
Bola Sodok,Tamansari,Jakarta Barat
Bola Sodok,Kalideres,Jakarta Barat
Bola Sodok,Tambora,Jakarta Barat
Bola Sodok,Grogol Petamburan,Jakarta Barat
Bola Sodok,Kebon Jeruk,Jakarta Barat
Bola Sodok,Grogol Petamburan,Jakarta Barat
Bola Sodok,Cengkareng,Jakarta Barat
Bola Sodok,Grogol Petamburan,Jakarta Barat
Bola Sodok,Tambora,Jakarta Barat
Bola Sodok,Tamansari,Jakarta Barat
Bola Sodok,Palmerah,Jakarta Barat
Bola Sodok,Cempaka Putih,Jakarta Pusat
Bola Sodok,Menteng,Jakarta Pusat
Bola Sodok,Gambir,Jakarta Pusat
Bola Sodok,Gambir,Jakarta Pusat
Bola Sodok,Senen,Jakarta Pusat
Bola Sodok,Kemayoran,Jakarta Pusat
Bola Sodok,Gambir,Jakarta Pusat
Bola Sodok,Tanah Abang,Jakarta Pusat
Bola Sodok,Cilandak,Jakarta Selatan
Bola Sodok,Pancoran,Jakarta Selatan
Bola Sodok,Pesanggrahan,Jakarta Selatan
Bola Sodok,Tebet,Jakarta Selatan
Bola Sodok,Kebayoran Baru,Jakarta Selatan
Bola Sodok,Setiabudi,Jakarta Selatan
Bola Sodok,Pancoran,Jakarta Selatan
Bola Sodok,Tebet,Jakarta Selatan
Bola Sodok,Setiabudi,Jakarta Selatan
Bola Sodok,Setiabudi,Jakarta Selatan
Bola Sodok,Setiabudi,Jakarta Selatan
Bola Sodok,Jagakarsa,Jakarta Selatan
Bola Sodok,Pasar Minggu,Jakarta Selatan
Bola Sodok,Tebet,Jakarta Selatan
Bola Sodok,Pancoran,Jakarta Selatan
Bola Sodok,Tebet,Jakarta Selatan
Bola Sodok,Cilandak,Jakarta Selatan
Bola Sodok,Pasar Rebo,Jakarta Timur
Bola Sodok,Ciracas,Jakarta Timur
Bola Sodok,Kramat Jati,Jakarta Timur
Bola Sodok,Pulo Gadung,Jakarta Timur
Bola Sodok,Kramat Jati,Jakarta Timur
Bola Sodok,Pulo Gadung,Jakarta Timur
Bola Sodok,Pulo Gadung,Jakarta Timur
Bola Sodok,Cakung,Jakarta Timur
Bola Sodok,Duren Sawit,Jakarta Timur
Bola Sodok,Pademangan,Jakarta Utara
Bola Sodok,Penjaringan,Jakarta Utara
Bola Sodok,Pademangan,Jakarta Utara
Bola Sodok,Kepulauan Seribu,Jakarta Utara
Bola Sodok,Kelapa Gading,Jakarta Utara
Bola Sodok,Kepulauan Seribu,Jakarta Utara
Bola Sodok,Pademangan,Jakarta Utara
Bola Sodok,Koja,Jakarta Utara
Bola Sodok,Kelapa Gading,Jakarta Utara
Bola Sodok,Kelapa Gading,Jakarta Utara
Bola Sodok,Pademangan,Jakarta Utara
Bola Sodok,Penjaringan,Jakarta Utara
Bola Sodok,Kelapa Gading,Jakarta Utara
Diskotik,Tamansari,Jakarta Barat
Diskotik,Tamansari,Jakarta Barat
