tahun,bulan,jenis_hotel,jumlah,keterangan
2016,1,Bintang 5,71.1,%
2016,2,Bintang 5,48.2,%
2016,3,Bintang 5,82.1,%
2016,4,Bintang 5,27.1,%
2016,5,Bintang 5,86.2,%
2016,6,Bintang 5,8.1,%
2016,7,Bintang 5,34.1,%
2016,8,Bintang 5,65.1,%
2016,9,Bintang 5,63.2,%
2016,10,Bintang 5,65.1,%
2016,11,Bintang 5,37.1,%
2016,12,Bintang 5,52.1,%
2016,1,Bintang 4,57.1,%
2016,2,Bintang 4,65.1,%
2016,3,Bintang 4,5.1,%
2016,4,Bintang 4,7.2,%
2016,5,Bintang 4,83.2,%
2016,6,Bintang 4,47.2,%
2016,7,Bintang 4,24.2,%
2016,8,Bintang 4,51.1,%
2016,9,Bintang 4,56.1,%
2016,10,Bintang 4,4.2,%
2016,11,Bintang 4,73.1,%
2016,12,Bintang 4,66.1,%
2016,1,Bintang 3,73.1,%
2016,2,Bintang 3,49.2,%
2016,3,Bintang 3,2.2,%
2016,4,Bintang 3,1.2,%
2016,5,Bintang 3,9.2,%
2016,6,Bintang 3,52.2,%
2016,7,Bintang 3,84.2,%
2016,8,Bintang 3,5.2,%
2016,9,Bintang 3,23.1,%
2016,10,Bintang 3,12.2,%
2016,11,Bintang 3,95.1,%
2016,12,Bintang 3,72.1,%
2016,1,Bintang 2,32.1,%
2016,2,Bintang 2,53.1,%
2016,3,Bintang 2,54.1,%
2016,4,Bintang 2,5.1,%
2016,5,Bintang 2,14.1,%
2016,6,Bintang 2,68.1,%
2016,7,Bintang 2,67.1,%
2016,8,Bintang 2,44.1,%
2016,9,Bintang 2,55.1,%
2016,10,Bintang 2,47.2,%
2016,11,Bintang 2,35.2,%
2016,12,Bintang 2,18.1,%
2016,1,Bintang 1,8.3,%
2016,2,Bintang 1,18.1,%
2016,3,Bintang 1,2.1,%
2016,4,Bintang 1,11.1,%
2016,5,Bintang 1,89.1,%
2016,6,Bintang 1,6.1,%
2016,7,Bintang 1,53.1,%
2016,8,Bintang 1,14.1,%
2016,9,Bintang 1,7.1,%
2016,10,Bintang 1,15.1,%
2016,11,Bintang 1,79.1,%
2016,12,Bintang 1,53.1,%
